stn,country
110010,AU
110030,AU
110050,AU
110080,AU
110090,AU
110100,AU
110110,AU
110120,AU
110130,AU
110140,AU
110150,AU
110160,AU
110161,AU
110162,AU
110163,AU
110164,AU
110165,AU
110170,AU
110180,AU
110190,AU
110200,AU
110210,AU
110220,AU
110230,AU
110240,AU
110250,AU
110260,AU
110270,AU
110280,AU
110300,AU
110320,AU
110330,AU
110340,AU
110350,AU
110360,AU
110370,AU
110380,AU
110390,AU
110400,AU
110510,AU
110520,AU
110530,AU
110550,AU
110590,AU
110600,AU
110700,AU
110750,AU
110780,AU
110800,AU
110810,AU
110820,AU
110830,AU
110850,AU
110900,AU
111010,AU
111030,AU
111050,AU
111060,AU
111090,AU
111100,AU
111120,AU
111130,AU
111140,AU
111150,AU
111160,AU
111190,AU
111200,AU
111210,AU
111220,AU
111240,AU
111260,AU
111270,AU
111280,AU
111300,AU
111320,AU
111330,AU
111340,AU
111350,AU
111360,AU
111370,AU
111380,AU
111390,AU
111400,AU
111410,AU
111420,AU
111430,AU
111440,AU
111450,AU
111460,AU
111470,AU
111480,AU
111490,AU
111500,AU
111510,AU
111520,AU
111530,AU
111540,AU
111550,AU
111560,AU
111570,AU
111580,AU
111590,AU
111600,AU
111610,AU
111620,AU
111630,AU
111640,AU
111650,AU
111680,AU
111690,AU
111700,AU
111710,AU
111720,AU
111730,AU
111740,AU
111750,AU
111760,AU
111770,AU
111800,AU
111810,AU
111820,AU
111830,AU
111840,AU
111850,AU
111860,AU
111890,AU
111900,AU
111910,AU
111920,AU
111930,AU
111940,AU
111950,AU
112010,AU
112020,AU
112030,AU
112040,AU
112050,AU
112070,AU
112100,AU
112110,AU
112120,AU
112130,AU
112140,AU
112150,AU
112190,AU
112200,AU
112250,AU
112270,AU
112280,AU
112290,AU
112310,AU
112320,AU
112330,AU
112340,AU
112360,AU
112370,AU
112400,AU
112410,AU
112420,AU
112440,AU
112450,AU
112480,AU
112520,AU
112550,AU
112600,AU
112610,AU
112630,AU
112650,AU
112700,AU
112720,AU
112750,AU
112780,AU
112800,AU
112850,AU
112900,AU
112920,AU
112950,AU
112960,AU
112980,AU
113010,AU
113020,AU
113040,AU
113060,AU
113070,AU
113080,AU
113090,AU
113100,AU
113120,AU
113150,AU
113160,AU
113180,AU
113200,AU
113250,AU
113280,AU
113300,AU
113310,AU
113320,AU
113360,AU
113370,AU
113400,AU
113420,AU
113430,AU
113450,AU
113460,AU
113480,AU
113490,AU
113500,AU
113510,AU
113520,AU
113530,AU
113540,AU
113550,AU
113560,AU
113570,AU
113580,AU
113590,AU
113600,AU
113620,AU
113650,AU
113660,AU
113670,AU
113700,AU
113720,AU
113750,AU
113780,AU
113800,AU
113820,AU
113830,AU
113840,AU
113850,AU
113860,AU
113870,AU
113890,AU
113900,AU
113930,AU
113950,AU
131430,EG
170200,TU
170220,TU
170222,TU
170223,TU
170240,TU
170260,TU
170290,TU
170300,TU
170310,TU
170330,TU
170340,TU
170380,TU
170400,TU
170420,TU
170450,TU
170460,TU
170500,TU
170520,TU
170540,TU
170560,TU
170575,TU
170590,TU
170600,TU
170610,TU
170620,TU
170630,TU
170640,TU
170661,TU
170670,TU
170671,TU
170672,TU
170673,TU
170674,TU
170675,TU
170680,TU
170690,TU
170700,TU
170720,TU
170740,TU
170780,TU
170800,TU
170820,TU
170840,TU
170850,TU
170860,TU
170880,TU
170890,TU
170900,TU
170905,TU
170920,TU
170950,TU
170960,TU
170965,TU
170980,TU
