Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Argentina;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;16,82;16,10;13,38;16,42;18,50;15,06;16,65;19,21;13,37;13,26;19,55;19,61;10,04;10,79;16,45;16,12;19,22;18,75;19,98;21,50
Opening Stocks;Million tonnes;0,51;0,39;0,67;1,28;1,60;1,25;0,35;0,58;2,35;1,25;2,33;4,11;0,74;0,29;2,49;4,80;0,82;0,25;0,47;1,74
Production;Million tonnes;16,30;15,70;12,70;15,10;16,90;13,80;16,30;18,60;11,00;12,00;17,20;15,50;9,30;10,50;13,93;11,30;18,40;18,50;19,50;19,76
Imports (NMY);Million tonnes;0,01;0,01;0,01;0,03;0,00;0,00;0,01;0,02;0,02;0,00;0,01;0,00;0,00;0,00;0,04;0,01;0,00;0,01;0,01;0,01
Total Utilization;Million tonnes;16,82;16,10;13,38;16,42;18,50;15,06;16,65;19,21;13,37;13,26;19,55;19,61;10,04;10,79;16,45;16,12;19,22;18,75;19,98;21,50
Domestic Utilization;Million tonnes;5,10;5,15;5,30;5,35;5,35;5,07;5,35;5,65;5,32;5,82;5,95;5,95;6,20;6,05;6,35;5,70;5,15;5,55;6,05;6,30
Food/Seeds/Industrial Use;Million tonnes;5,00;5,05;5,20;5,25;5,25;5,05;5,25;5,55;5,30;5,80;5,85;5,85;5,90;5,95;6,05;5,50;5,10;5,50;6,00;6,25
Feed Dom. Consumption;Million tonnes;0,10;0,10;0,10;0,10;0,10;0,02;0,10;0,10;0,02;0,02;0,10;0,10;0,30;0,10;0,30;0,20;0,05;0,05;0,05;0,05
Exports (NMY);Million tonnes;11,32;10,28;6,79;9,46;11,89;9,63;10,72;11,20;6,79;5,09;9,49;12,93;3,55;2,25;5,30;9,60;13,83;12,73;12,19;13,50
Closing Stocks;Million tonnes;0,39;0,67;1,28;1,60;1,25;0,35;0,58;2,35;1,25;2,33;4,10;0,74;0,29;2,49;4,80;0,82;0,25;0,47;1,74;1,70
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;0,01;0,01;0,01;0,01;0,03;0,00;0,01;0,00;0,04;0,00;0,00;0,01;0,00;0,00;0,04;0,00;0,01;0,01;0,00;0,00
Exports (ITY);Million tonnes;11,43;11,71;6,30;7,39;13,57;8,38;12,23;10,24;8,65;5,25;7,74;11,95;7,45;1,68;4,20;8,75;12,28;14,00;12,68;13,61
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;6,54;7,01;6,23;5,96;6,43;5,47;6,21;6,58;5,25;4,00;4,84;5,17;3,60;3,50;4,96;3,95;5,56;5,80;6,05;6,73
Yield;Tonnes/Ha;2,49;2,23;2,03;2,53;2,62;2,52;2,62;2,82;2,09;3,00;3,55;3,00;2,58;3,00;2,81;2,86;3,31;3,19;3,22;2,94
