Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Australia;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;26,76;29,87;18,45;29,39;27,39;31,92;20,28;17,83;25,27;25,06;32,59;38,22;30,05;30,12;28,46;27,10;35,84;26,87;23,65;21,39
Opening Stocks;Million tonnes;4,58;5,50;8,04;3,18;5,41;6,67;9,36;4,15;3,73;3,10;5,06;8,18;7,05;4,66;4,56;4,67;3,86;5,75;5,55;5,44
Production;Million tonnes;22,10;24,29;10,13;26,13;21,90;25,17;10,82;13,56;21,42;21,83;27,41;29,91;22,86;25,30;23,74;22,28;31,82;20,94;17,60;15,20
Imports (NMY);Million tonnes;0,07;0,07;0,28;0,07;0,07;0,08;0,09;0,11;0,11;0,12;0,12;0,13;0,14;0,15;0,16;0,16;0,17;0,18;0,50;0,75
Total Utilization;Million tonnes;26,76;29,87;18,45;29,39;27,39;31,92;20,28;17,83;25,27;25,06;32,59;38,22;30,05;30,12;28,46;27,10;35,84;26,87;23,65;21,39
Domestic Utilization;Million tonnes;5,32;5,42;6,12;5,95;6,00;6,55;7,40;6,61;7,41;5,17;5,81;6,51;6,74;6,95;7,20;7,13;7,45;7,48;9,20;8,40
Food/Seeds/Industrial Use;Million tonnes;2,72;2,72;2,72;2,75;2,80;2,85;2,90;3,11;3,26;3,27;3,31;3,31;3,34;3,35;3,40;3,43;3,45;3,48;3,50;3,50
Feed Dom. Consumption;Million tonnes;2,60;2,70;3,40;3,20;3,20;3,70;4,50;3,50;4,15;1,90;2,50;3,20;3,40;3,60;3,80;3,70;4,00;4,00;5,70;4,90
Exports (NMY);Million tonnes;15,93;16,40;9,14;18,03;14,72;16,01;8,72;7,48;14,74;14,82;18,60;24,66;18,65;18,61;16,59;16,12;22,64;13,85;9,01;9,50
Closing Stocks;Million tonnes;5,50;8,04;3,18;5,41;6,67;9,36;4,15;3,73;3,10;5,06;8,18;7,05;4,66;4,56;4,67;3,86;5,75;5,55;5,44;3,49
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;0,07;0,07;0,28;0,07;0,07;0,08;0,09;0,11;0,10;0,12;0,12;0,13;0,14;0,15;0,16;0,16;0,17;0,18;0,31;0,82
Exports (ITY);Million tonnes;16,68;16,49;10,94;15,09;15,82;15,21;11,24;7,44;13,45;13,76;18,45;23,03;21,27;18,34;16,58;15,78;22,06;15,51;9,84;10,12
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;12,14;11,59;11,07;13,06;13,39;12,45;11,79;12,57;13,53;13,88;13,50;13,90;12,98;12,61;12,38;11,28;12,19;10,92;10,40;10,20
Yield;Tonnes/Ha;1,82;2,09;0,91;1,99;1,63;2,02;0,91;1,07;1,58;1,57;2,03;2,15;1,76;2,01;1,92;1,97;2,61;1,92;1,69;1,49
