Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Brazil;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;10,14;10,54;10,73;12,09;11,89;13,16;12,15;12,44;13,66;14,75;15,18;14,98;13,49;13,37;13,26;13,16;15,08;13,54;13,76;13,46
Opening Stocks;Million tonnes;1,30;0,54;0,83;0,88;0,81;1,68;1,90;1,85;1,37;2,56;2,58;1,85;1,75;1,00;1,89;0,87;1,00;2,26;1,31;1,06
Production;Million tonnes;1,66;3,25;2,92;5,85;5,84;4,87;2,23;3,82;5,88;5,02;5,90;5,80;4,38;5,30;6,00;5,54;6,73;4,26;5,43;5,20
Imports (NMY);Million tonnes;7,18;6,74;6,97;5,35;5,23;6,60;8,01;6,77;6,41;7,15;6,69;7,34;7,36;7,07;5,37;6,75;7,35;7,02;7,02;7,20
Total Utilization;Million tonnes;10,14;10,54;10,73;12,09;11,89;13,16;12,15;12,44;13,66;14,75;15,18;14,98;13,49;13,37;13,26;13,16;15,08;13,54;13,76;13,46
Domestic Utilization;Million tonnes;9,60;9,70;9,85;9,90;10,20;10,45;10,30;10,30;10,70;11,00;10,80;11,20;10,90;11,40;10,70;11,10;12,20;12,00;12,10;12,10
Food/Seeds/Industrial Use;Million tonnes;9,40;9,50;9,60;9,70;9,90;10,00;10,10;10,20;10,50;10,60;10,60;10,70;10,70;10,80;10,40;10,60;11,40;11,50;11,60;11,60
Feed Dom. Consumption;Million tonnes;0,20;0,20;0,25;0,20;0,30;0,45;0,20;0,10;0,20;0,40;0,20;0,50;0,20;0,60;0,30;0,50;0,80;0,50;0,50;0,50
Exports (NMY);Million tonnes;0,00;0,01;0,01;1,37;0,01;0,80;0,00;0,77;0,40;1,16;2,53;2,04;1,58;0,08;1,69;1,06;0,62;0,23;0,60;0,42
Closing Stocks;Million tonnes;0,54;0,83;0,88;0,81;1,68;1,90;1,85;1,37;2,56;2,58;1,84;1,75;1,00;1,89;0,87;1,00;2,26;1,31;1,06;0,94
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;7,46;7,20;7,05;5,69;5,36;6,01;7,83;7,07;6,76;6,69;6,74;7,05;7,55;7,06;5,87;5,92;7,79;6,70;7,44;7,18
Exports (ITY);Million tonnes;0,00;0,00;0,01;1,37;0,01;0,77;0,04;0,76;0,36;1,19;2,53;1,86;1,75;0,08;1,69;1,06;0,61;0,25;0,59;0,41
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;1,46;1,72;2,04;2,46;2,75;2,36;1,75;1,81;2,40;2,42;2,15;2,17;1,90;2,20;2,73;2,45;2,12;1,92;2,04;2,04
Yield;Tonnes/Ha;1,13;1,88;1,43;2,37;2,12;2,06;1,27;2,10;2,45;2,07;2,74;2,67;2,31;2,41;2,20;2,26;3,17;2,23;2,66;2,55
