Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Canada;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;34,03;30,62;22,89;29,00;31,03;33,95;35,28;27,33;33,37;34,02;31,45;33,11;33,63;43,12;40,39;35,26;37,82;37,76;39,42;38,92
Opening Stocks;Million tonnes;7,29;9,65;6,54;5,72;5,98;7,92;9,69;6,86;4,36;6,64;7,74;7,36;5,93;5,11;10,40;7,10;5,18;6,93;6,73;5,89
Production;Million tonnes;26,53;20,63;15,96;23,04;24,79;25,74;25,26;20,09;28,61;26,95;23,30;25,29;27,25;37,59;29,44;27,65;32,14;30,38;32,20;32,35
Imports (NMY);Million tonnes;0,19;0,34;0,38;0,23;0,25;0,28;0,32;0,38;0,38;0,43;0,41;0,46;0,45;0,42;0,55;0,51;0,50;0,45;0,48;0,68
Total Utilization;Million tonnes;34,03;30,62;22,89;29,00;31,03;33,95;35,28;27,33;33,37;34,02;31,45;33,11;33,63;43,12;40,39;35,26;37,82;37,76;39,42;38,92
Domestic Utilization;Million tonnes;7,06;7,80;7,73;7,17;8,24;8,23;8,98;6,85;7,84;7,24;7,52;9,82;9,57;9,45;9,12;7,99;10,67;9,03;9,14;9,26
Food/Seeds/Industrial Use;Million tonnes;4,06;4,17;4,22;4,04;4,40;4,42;4,52;4,23;4,86;4,86;4,97;5,25;5,09;5,23;5,14;5,17;4,85;4,90;4,99;5,10
Feed Dom. Consumption;Million tonnes;2,99;3,63;3,51;3,13;3,83;3,81;4,45;2,62;2,98;2,37;2,55;4,58;4,47;4,22;3,98;2,82;5,82;4,13;4,16;4,16
Exports (NMY);Million tonnes;17,31;16,27;9,43;15,84;14,87;16,02;19,43;16,11;18,87;19,04;16,57;17,35;18,95;23,27;24,17;22,09;20,22;22,00;24,38;24,63
Closing Stocks;Million tonnes;9,65;6,54;5,72;5,98;7,92;9,69;6,86;4,36;6,64;7,74;7,36;5,93;5,11;10,40;7,10;5,18;6,93;6,73;5,89;5,03
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;0,19;0,31;0,38;0,23;0,24;0,28;0,31;0,37;0,39;0,42;0,40;0,47;0,46;0,42;0,54;0,51;0,51;0,45;0,48;0,68
Exports (ITY);Million tonnes;17,35;16,75;9,41;15,53;15,10;15,63;19,27;16,56;18,67;18,99;16,76;17,60;18,58;22,16;24,88;22,10;20,30;22,02;24,45;23,48
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;10,85;10,60;8,71;10,21;9,38;9,40;9,68;8,61;10,01;9,66;8,29;8,55;9,48;10,45;9,55;9,56;8,98;8,98;9,88;9,66
Yield;Tonnes/Ha;2,44;1,94;1,83;2,25;2,64;2,73;2,60;2,33;2,85;2,78;2,80;2,96;2,87;3,60;3,08;2,89;3,58;3,38;3,26;3,35
