Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Egypt;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;14,51;14,78;14,50;14,92;16,64;18,59;19,45;19,22;21,45;23,58;23,10;25,23;23,30;22,83;23,74;24,38;23,99;24,98;25,21;25,60
Opening Stocks;Million tonnes;2,11;1,71;1,87;1,19;1,31;2,63;3,88;4,14;3,57;4,56;5,30;5,18;6,40;4,43;4,14;4,35;4,71;4,13;4,40;4,01
Production;Million tonnes;6,35;6,13;6,30;6,44;7,17;8,18;8,27;7,37;7,97;8,52;7,20;8,40;8,50;8,25;8,30;8,10;8,10;8,45;8,45;8,77
Imports (NMY);Million tonnes;6,05;6,94;6,32;7,29;8,15;7,77;7,30;7,70;9,90;10,50;10,60;11,65;8,40;10,15;11,30;11,93;11,18;12,41;12,35;12,81
Total Utilization;Million tonnes;14,51;14,78;14,50;14,92;16,64;18,59;19,45;19,22;21,45;23,58;23,10;25,23;23,30;22,83;23,74;24,38;23,99;24,98;25,21;25,60
Domestic Utilization;Million tonnes;12,80;12,90;13,30;13,60;14,00;14,70;15,30;15,60;16,80;18,10;17,70;18,60;18,70;18,50;19,10;19,20;19,40;19,80;20,10;20,30
Food/Seeds/Industrial Use;Million tonnes;12,00;12,30;12,50;12,60;12,80;12,90;13,30;13,80;14,60;15,30;15,50;16,00;16,50;16,50;17,10;17,80;18,00;18,50;18,80;19,00
Feed Dom. Consumption;Million tonnes;0,80;0,60;0,80;1,00;1,20;1,80;2,00;1,80;2,20;2,80;2,20;2,60;2,20;2,00;2,00;1,40;1,40;1,30;1,30;1,30
Exports (NMY);Million tonnes;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,09;0,17;0,22;0,23;0,18;0,19;0,28;0,47;0,47;0,78;1,09;0,98
Closing Stocks;Million tonnes;1,71;1,87;1,19;1,31;2,63;3,88;4,14;3,57;4,56;5,30;5,18;6,40;4,43;4,14;4,35;4,71;4,13;4,40;4,01;4,32
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;6,05;6,94;6,32;7,29;8,15;7,77;7,30;7,70;9,90;10,50;10,60;11,65;8,40;10,15;11,30;11,93;11,18;12,41;12,35;12,81
Exports (ITY);Million tonnes;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,09;0,17;0,22;0,23;0,18;0,19;0,28;0,47;0,47;0,78;1,09;0,98
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;1,19;1,00;1,00;1,02;1,09;1,26;1,28;1,14;1,22;1,32;1,26;1,28;1,35;1,35;1,35;1,26;1,26;1,32;1,32;1,37
Yield;Tonnes/Ha;5,33;6,11;6,25;6,26;6,56;6,49;6,43;6,46;6,50;6,44;5,71;6,56;6,30;6,11;6,15;6,43;6,43;6,40;6,40;6,40
