Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Mexico;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;7,06;7,22;7,24;7,09;6,86;6,92;7,14;7,12;7,92;7,82;7,77;9,15;7,86;8,50;8,67;9,23;9,90;9,62;8,63;8,95
Opening Stocks;Million tonnes;0,60;0,78;0,85;0,75;0,74;0,35;0,29;0,39;0,36;0,51;0,69;0,50;0,76;0,50;0,53;0,71;0,66;0,88;0,77;0,60
Production;Million tonnes;3,40;3,27;3,23;2,70;2,42;3,02;3,24;3,59;4,21;4,11;3,67;3,63;3,27;3,36;3,67;3,71;3,87;3,49;3,00;3,27
Imports (NMY);Million tonnes;3,06;3,17;3,16;3,64;3,69;3,55;3,60;3,14;3,34;3,19;3,40;5,02;3,82;4,64;4,47;4,81;5,37;5,25;4,86;5,08
Total Utilization;Million tonnes;7,06;7,22;7,24;7,09;6,86;6,92;7,14;7,12;7,92;7,82;7,77;9,15;7,86;8,50;8,67;9,23;9,90;9,62;8,63;8,95
Domestic Utilization;Million tonnes;5,58;5,81;5,90;5,90;6,00;6,10;6,20;5,50;6,00;6,30;6,45;7,60;6,63;6,65;6,85;7,00;7,90;7,70;7,50;7,40
Food/Seeds/Industrial Use;Million tonnes;5,38;5,61;5,70;5,80;5,90;6,00;6,10;5,40;5,80;5,80;5,70;6,10;6,20;6,30;6,45;6,60;7,20;7,30;7,20;7,20
Feed Dom. Consumption;Million tonnes;0,20;0,20;0,20;0,10;0,10;0,10;0,10;0,10;0,20;0,50;0,75;1,50;0,43;0,35;0,40;0,40;0,70;0,40;0,30;0,20
Exports (NMY);Million tonnes;0,70;0,54;0,59;0,45;0,50;0,53;0,54;1,26;1,40;0,83;0,82;0,79;0,73;1,32;1,10;1,57;1,12;1,15;0,53;1,17
Closing Stocks;Million tonnes;0,78;0,85;0,75;0,74;0,35;0,29;0,39;0,36;0,51;0,69;0,50;0,76;0,50;0,53;0,71;0,66;0,88;0,77;0,60;0,39
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;3,06;3,17;3,16;3,64;3,69;3,55;3,60;3,14;3,34;3,19;3,40;5,02;3,82;4,64;4,47;4,81;5,37;5,25;4,86;5,08
Exports (ITY);Million tonnes;0,70;0,54;0,59;0,45;0,50;0,53;0,54;1,26;1,40;0,83;0,82;0,79;0,73;1,32;1,10;1,57;1,12;1,15;0,53;1,17
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;0,69;0,68;0,63;0,60;0,51;0,55;0,57;0,72;0,82;0,82;0,67;0,66;0,58;0,63;0,71;0,82;0,72;0,67;0,54;0,59
Yield;Tonnes/Ha;4,92;4,77;5,12;4,50;4,74;5,49;5,68;4,97;5,08;4,97;5,41;5,48;5,65;5,30;5,19;4,53;5,34;5,24;5,56;5,54
