Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;South Africa;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;3,33;3,54;3,78;3,72;3,67;3,68;3,56;3,82;4,15;4,01;3,76;4,33;4,04;4,22;4,29;4,34;3,93;4,32;4,20;4,37
Opening Stocks;Million tonnes;0,55;0,48;0,59;0,90;0,60;0,58;0,59;0,43;0,62;0,77;0,64;0,55;0,71;0,58;0,61;0,73;0,97;0,49;0,83;0,64
Production;Million tonnes;2,34;2,49;2,32;1,54;1,68;1,88;2,10;1,90;2,13;1,96;1,43;2,01;1,87;1,87;1,75;1,44;1,91;1,54;1,87;1,54
Imports (NMY);Million tonnes;0,43;0,56;0,87;1,27;1,39;1,21;0,86;1,48;1,40;1,27;1,69;1,77;1,46;1,77;1,93;2,17;1,05;2,29;1,50;2,20
Total Utilization;Million tonnes;3,33;3,54;3,78;3,72;3,67;3,68;3,56;3,82;4,15;4,01;3,76;4,33;4,04;4,22;4,29;4,34;3,93;4,32;4,20;4,37
Domestic Utilization;Million tonnes;2,65;2,57;2,57;2,74;2,77;2,81;2,81;2,86;3,00;3,05;3,03;3,33;3,15;3,35;3,26;3,30;3,33;3,38;3,44;3,58
Food/Seeds/Industrial Use;Million tonnes;2,64;2,56;2,56;2,73;2,76;2,80;2,80;2,85;2,95;3,00;3,00;3,19;3,12;3,29;3,23;3,27;3,30;3,35;3,41;3,55
Feed Dom. Consumption;Million tonnes;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,05;0,03;0,14;0,03;0,06;0,03;0,03;0,03;0,03;0,03;0,03
Exports (NMY);Million tonnes;0,20;0,37;0,31;0,37;0,32;0,27;0,31;0,34;0,37;0,32;0,17;0,29;0,30;0,27;0,29;0,07;0,11;0,11;0,13;0,13
Closing Stocks;Million tonnes;0,48;0,59;0,90;0,60;0,58;0,59;0,43;0,62;0,77;0,64;0,55;0,71;0,58;0,61;0,73;0,97;0,49;0,83;0,64;0,66
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;0,43;0,56;1,02;0,91;1,40;1,24;0,88;1,33;1,47;1,35;1,58;1,63;1,58;1,80;1,95;2,03;1,22;2,03;1,59;2,17
Exports (ITY);Million tonnes;0,22;0,37;0,33;0,35;0,33;0,29;0,30;0,34;0,40;0,20;0,19;0,26;0,31;0,27;0,31;0,11;0,11;0,09;0,11;0,14
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;0,93;0,95;0,94;0,74;0,83;0,80;0,76;0,63;0,74;0,64;0,55;0,61;0,51;0,51;0,48;0,48;0,51;0,49;0,50;0,54
Yield;Tonnes/Ha;2,51;2,59;2,46;2,05;2,02;2,35;2,75;3,01;2,84;3,05;2,56;3,31;3,66;3,70;3,67;2,99;3,76;3,12;3,71;2,84
