Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Turkey;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;20,45;18,74;19,82;20,32;21,77;21,63;21,00;19,63;21,38;23,88;23,22;25,78;23,99;25,79;24,64;26,63;24,86;28,34;29,01;32,08
Opening Stocks;Million tonnes;2,03;2,20;1,78;2,43;2,88;3,00;1,76;1,97;1,11;2,24;2,52;2,91;4,01;2,90;3,60;3,08;3,10;1,30;3,65;3,86
Production;Million tonnes;18,00;15,50;16,80;16,80;18,50;18,50;17,50;15,50;16,80;18,45;17,00;18,80;16,00;18,75;15,25;19,50;17,25;21,00;19,00;17,50
Imports (NMY);Million tonnes;0,42;1,03;1,24;1,08;0,39;0,12;1,73;2,16;3,46;3,19;3,70;4,07;3,98;4,14;5,79;4,05;4,51;6,04;6,37;10,72
Total Utilization;Million tonnes;20,45;18,74;19,82;20,32;21,77;21,63;21,00;19,63;21,38;23,88;23,22;25,78;23,99;25,79;24,64;26,63;24,86;28,34;29,01;32,08
Domestic Utilization;Million tonnes;16,65;16,20;16,60;16,60;16,75;16,65;16,65;16,80;16,90;17,10;17,30;18,10;17,65;17,75;17,50;18,00;17,40;18,50;18,80;19,90
Food/Seeds/Industrial Use;Million tonnes;15,70;15,40;15,80;15,80;15,80;15,70;15,85;16,00;16,20;16,30;16,50;16,70;16,80;16,80;16,80;16,80;16,70;17,00;17,50;18,10
Feed Dom. Consumption;Million tonnes;0,95;0,80;0,80;0,80;0,95;0,95;0,80;0,80;0,70;0,80;0,80;1,40;0,85;0,95;0,70;1,20;0,70;1,50;1,30;1,80
Exports (NMY);Million tonnes;1,60;0,75;0,79;0,83;2,01;3,21;2,37;1,72;2,23;4,26;3,01;3,67;3,44;4,44;4,06;5,53;6,17;6,19;6,35;6,07
Closing Stocks;Million tonnes;2,20;1,78;2,43;2,88;3,00;1,76;1,97;1,11;2,24;2,52;2,91;4,01;2,90;3,60;3,08;3,10;1,30;3,65;3,86;6,11
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;0,44;1,08;1,21;1,05;0,37;0,10;1,77;2,19;3,57;3,21;3,54;4,41;3,63;4,21;5,90;3,98;4,55;5,92;6,49;10,95
Exports (ITY);Million tonnes;1,60;0,55;0,83;0,85;2,23;3,20;2,20;1,76;2,34;4,36;2,94;3,68;3,58;4,29;4,14;5,61;6,18;6,22;6,22;6,16
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;8,70;8,50;8,55;8,60;8,60;8,60;8,60;7,70;7,70;7,80;8,00;7,70;7,80;7,70;7,71;7,86;7,82;7,80;7,62;7,00
Yield;Tonnes/Ha;2,06;1,82;1,96;1,95;2,15;2,15;2,03;2,01;2,18;2,36;2,12;2,44;2,05;2,44;1,98;2,48;2,21;2,69;2,50;2,50
