Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Ukraine;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;12,68;21,89;24,32;10,21;18,67;21,34;16,41;15,61;28,03;23,99;19,24;25,75;21,17;24,93;28,45;32,98;30,18;28,81;26,41;30,86
Opening Stocks;Million tonnes;1,80;0,45;2,95;3,25;1,12;2,57;2,38;1,34;2,08;3,10;2,35;3,34;5,36;2,58;3,67;5,68;3,35;1,77;1,24;1,59
Production;Million tonnes;10,19;21,34;20,55;3,59;17,52;18,69;13,94;13,93;25,88;20,86;16,84;22,32;15,76;22,28;24,75;27,27;26,79;26,98;25,06;29,17
Imports (NMY);Million tonnes;0,68;0,09;0,81;3,36;0,03;0,06;0,08;0,33;0,07;0,02;0,04;0,08;0,05;0,07;0,03;0,03;0,04;0,06;0,11;0,10
Total Utilization;Million tonnes;12,68;21,89;24,32;10,21;18,67;21,34;16,41;15,61;28,03;23,99;19,24;25,75;21,17;24,93;28,45;32,98;30,18;28,81;26,41;30,86
Domestic Utilization;Million tonnes;12,15;13,45;14,50;9,02;11,70;12,50;11,70;12,30;11,90;12,30;11,60;14,95;11,40;11,50;11,50;12,20;10,30;9,80;8,80;8,70
Food/Seeds/Industrial Use;Million tonnes;10,45;10,45;10,50;8,60;9,60;9,60;9,60;9,30;9,00;9,00;8,80;8,85;8,30;8,10;7,50;7,10;6,70;6,50;6,30;6,20
Feed Dom. Consumption;Million tonnes;1,70;3,00;4,00;0,42;2,10;2,90;2,10;3,00;2,90;3,30;2,80;6,10;3,10;3,40;4,00;5,10;3,60;3,30;2,50;2,50
Exports (NMY);Million tonnes;0,07;5,48;6,56;0,06;4,40;6,46;3,36;1,23;13,03;9,33;4,30;5,44;7,19;9,76;11,27;17,43;18,11;17,77;16,02;21,01
Closing Stocks;Million tonnes;0,45;2,95;3,25;1,12;2,57;2,38;1,34;2,08;3,10;2,35;3,34;5,36;2,58;3,67;5,68;3,35;1,77;1,24;1,59;1,15
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;0,68;0,09;0,81;3,36;0,03;0,06;0,08;0,33;0,07;0,02;0,04;0,08;0,05;0,07;0,03;0,03;0,04;0,06;0,11;0,10
Exports (ITY);Million tonnes;0,07;5,48;6,56;0,06;4,40;6,46;3,36;1,23;13,03;9,33;4,30;5,44;7,19;9,76;11,27;17,43;18,11;17,77;16,02;21,01
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;5,16;6,88;6,75;2,45;5,53;6,57;5,51;5,95;7,05;6,75;6,28;6,66;5,63;6,57;6,30;7,12;6,46;6,64;6,72;7,02
Yield;Tonnes/Ha;1,97;3,10;3,04;1,46;3,16;2,84;2,53;2,34;3,66;3,08;2,68;3,35;2,80;3,39;3,93;3,83;4,15;4,06;3,73;4,16
